STUDENT,SCHOOL,CITY,GROUP,SUBJECT,SCORE,STARTDATE,ENDDATE,DURATION,ACTIVITYID
DFD97529,D72C102D,Berlín,C65BF902,Matemáticas,3.2,02:17.7,10:04.2,4023,218408
9F395312,A486798D,México,A57CA1E9,Español,6.8,21:46.2,21:31.8,3559,212574
D387C06D,1167FDAE,Berlín,90367EA4,Matemáticas,8.4,02:09.6,23:29.0,4769,212654
84946820,3C81C45E,Barcelona,F07846A8,Matemáticas,7.2,00:34.2,50:00.0,6321,214019
F592B146,A486798D,México,2B5DD894,Español,5.2,26:48.3,03:02.4,2144,214833
4BF33217,9978663E,Madrid,7D82C9A1,Español,3.4,37:32.9,26:18.1,1822,216067
4B9E0812,9978663E,Madrid,7D82C9A1,Matemáticas,7.6,13:55.2,02:39.4,4922,220933
093AFEBB,7FB68715,México,3FD6CC1B,Matemáticas,7.8,42:13.4,21:25.4,5930,221575
54A9CAFB,1167FDAE,Berlín,90367EA4,Español,6.6,36:45.2,31:01.0,2590,211556
12ED7459,3C49AA57,Monterrey,53E57061,Español,7.8,18:08.2,53:29.1,5691,217537
624BE580,A486798D,México,B9337BA4,Matemáticas,4,00:58.4,20:11.6,8186,215753
54A9CAFB,1167FDAE,Berlín,90367EA4,Matemáticas,7.6,36:01.5,31:42.5,3309,213006
FE3DE1EF,A486798D,México,EA11A637,Matemáticas,8.4,09:20.2,51:07.1,6076,214075
1DA30407,A2AB9C69,Santiago,0EF19EE5,Matemáticas,1,02:34.4,06:45.2,1194,228869
754D3B94,9978663E,Madrid,E4F31EF2,Matemáticas,8.2,26:29.5,47:50.7,8418,224063
494B1DFE,A486798D,México,B9337BA4,Español,7.4,08:51.6,54:19.8,2545,217581
0EBCD8B5,AFDB98BD,México,B03A01BD,Matemáticas,2.2,39:37.4,35:19.1,3111,213211
81761AF5,3C49AA57,Monterrey,55307DCA,Español,5.6,55:28.8,30:35.5,5672,212949
A3EABACF,3C81C45E,Barcelona,96B5267C,Matemáticas,3,53:37.2,27:44.4,5558,212826
A077DF79,AFDB98BD,México,FA79832D,Matemáticas,8.6,23:29.9,02:08.0,5100,217980
C89B185E,A2AB9C69,Santiago,E2ACA14A,Español,7,14:24.6,52:16.3,5682,214130
